Titulo,Fecha,Link
El gran debate de los carbohidratos: ¿cruciales o innecesarios?,01/01/2019 _ 20:05,https://elcomercio.pe/tecnologia/ciencias/gran-debate-carbohidratos-cruciales-innecesarios-noticia-592507-noticia/
"Año 2019: ""Glee"", ""Modern Family"" y las series que cumplen 10 años",01/01/2019 _ 19:52,https://elcomercio.pe/tvmas/series/impreso-ano-2019-glee-modern-family-series-cumplen-10-anos-estreno-noticia-593217-noticia/
Áncash: menor de 12 años muere en un incendio en el distrito de Samanco,01/01/2019 _ 19:51,https://elcomercio.pe/peru/ancash/ancash-menor-12-anos-muere-incendio-distrito-samanco-noticia-593218-noticia/
Kendall Jenner muestra el atuendo con el que inicia el 2019 en Instagram,01/01/2019 _ 19:33,https://elcomercio.pe/tvmas/hollywood/kendall-jenner-modelo-muestra-nuevo-atuendo-iniciar-2019-instagram-noticia-nndc-593151-noticia/
Cerca de 400 migrantes murieron al tratar de cruzar la frontera de EE.UU. en el 2018,01/01/2019 _ 19:23,https://elcomercio.pe/mundo/eeuu/estados-unidos-cerca-400-inmigrantes-murieron-cruzar-frontera-2018-noticia-593206-noticia/
Liverpool: el baile de Jürgen Klopp por Año Nuevo a poco de enfrentar al Manchester City,01/01/2019 _ 19:20,https://elcomercio.pe/deporte-total/futbol-mundial/youtube-liverpool-baile-juergen-klopp-ano-nuevo-enfrentar-manchester-city-ver-viral-video-noticia-nndc-593190-noticia/
Manifestantes marcharon en apoyo a fiscales Rafael Vela y José Domingo Pérez,01/01/2019 _ 19:15,https://elcomercio.pe/lima/sucesos/caso-chavarry-manifestantes-marchan-apoyo-fiscales-rafael-vela-jose-domingo-perez-noticia-593209-noticia/
"Alejandro Castellote: ""En Perú, la cultura chicha es solo la parte visible del iceberg""",01/01/2019 _ 19:01,https://elcomercio.pe/arcomadrid/impreso-estratos-paisaje-muestra-arco-madrid-fotografia-peruana-noticia-593200-noticia/
"Thalía, J Balvin, BTS yesos ritmos que marcaron la pauta en 2018",01/01/2019 _ 19:00,https://elcomercio.pe/luces/musica/impreso-ano-2018-ritmos-marcaron-pauta-noticia-593202-noticia/
Se registraronmás de 300 sismos percibidos por la población en el 2018,01/01/2019 _ 18:57,https://elcomercio.pe/peru/registraron-300-sismos-percibidos-poblacion-2018-noticia-593203-noticia/
Maduro reitera que su nuevo mandato sí tendrá legitimidad constitucional,01/01/2019 _ 18:56,https://elcomercio.pe/mundo/actualidad/venezuela-nicolas-maduro-reitera-nuevo-mandato-tendra-legitimidad-constitucional-noticia-593204-noticia/
"""Reputación: cinco consejos para el 2019"", por Milton Vela",01/01/2019 _ 18:30,https://elcomercio.pe/economia/dia-1/reputacion-cinco-consejos-2019-milton-vela-noticia-592991-noticia/
Trump invita a líderes del Congreso a la Casa Blanca para solucionar el cierre de Gobierno,01/01/2019 _ 18:25,https://elcomercio.pe/mundo/eeuu/donald-trump-invita-lideres-congreso-estados-unidos-casa-blanca-solucionar-cierre-gobierno-noticia-593179-noticia/
Real Madrid: Eden Hazard recibe recomendación de Roberto Martínez sobre cambiar el Chelsea,01/01/2019 _ 18:07,https://elcomercio.pe/deporte-total/futbol-mundial/real-madrid-eden-hazard-recibe-recomendacion-roberto-martinez-cambiar-chelsea-noticia-nndc-593152-noticia/
Cómo funcionan las pruebas de ADN que prometen revelar quiénes fueron tus ancestros,01/01/2019 _ 18:05,https://elcomercio.pe/tecnologia/ciencias/funcionan-pruebas-adn-prometen-revelar-quienes-tus-ancestros-noticia-592503-noticia/
"Telcos: ""El reto actual está en la masificación de la ultra banda ancha""",01/01/2019 _ 18:00,https://elcomercio.pe/economia/negocios/telcos-reto-masificacion-ultra-banda-ancha-noticia-592949-noticia/
